buffer 0 = 0
buffer 1 = 1638400
44810 -2382 1410 1800
44981 -2134 1417 1800
45167 -1897 1486 1800
45344 -1657 1540 1800
45519 -1413 1616 1800
45693 -1162 1678 1800
45859 -912 1759 1800
46020 -652 1837 1800
46171 -393 1892 1800
46322 -131 1974 1800
46467 134 2056 1800
46599 401 2135 1800
46724 675 2204 1800
46845 953 2276 1800
46959 1234 2347 1800
47066 1512 2411 1800
47171 1795 2466 1800
47275 2081 2554 1800
47367 2367 2611 1800
47457 2658 2676 1800
47542 2945 2757 1800
47617 3237 2839 1800
47681 3527 2909 1800
47742 3824 2998 1800
47790 4119 3059 1800
